date,sentiment_mean,sentiment_volatility,tweet_volume,StringencyIndex_Average,daily_new_cases,daily_new_deaths,C1_School_closing,C2_Workplace_closing,C4_Restrictions_gatherings,C6_Stay_at_home,C7_Internal_movement,C8_International_travel,H6_Facial_coverings
2020-11-25,0.0059766785501100955,-0.0015946537030513963,-87661.0,0.0,2240.8333333334886,9.333333333328426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-26,0.003998201079564397,-0.002835525071542111,-230867.0,0.0,-11454.833333333489,-145.66666666666418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-27,-0.013939407457171898,0.002013913529981093,-390030.0,0.0,16563.5,36.66666666667152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-28,-0.012657726056230195,0.0017101428538230379,-26012.0,0.0,-7806.333333333489,-32.16666666667152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-29,0.001224279805163396,-0.007685040805288534,133035.0,0.0,-5266.166666666511,-58.66666666667152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0174881905728329,0.004351788960797021,573701.0,0.0,3542.5,59.333333333343035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,-0.020129047096169396,0.002121552275622496,-252181.0,-0.3083333333333371,6579.166666666511,172.49999999999267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-02,0.023424239701612296,-0.002748657502858687,363221.0,-0.6166666666666671,253.50000000046566,63.833333333335815,0.0,-0.16666666666666652,0.0,0.0,0.0,0.0,0.0
2020-12-03,0.0061014010824333095,-0.00038784461250468416,143237.0,-0.61666666666666,3525.833333333023,18.0,0.0,0.0,0.0,-0.16666666666666652,0.0,0.0,0.0
2020-12-04,-0.0021405043123366024,-0.0003262628501599085,-291447.0,-1.5433333333333366,2922.0,-46.5,0.0,-0.16666666666666674,0.0,0.0,-0.16666666666666674,0.0,0.0
2020-12-05,-0.011243901620333306,-0.002880408507702936,-374530.0,0.0,-2737.166666666977,-55.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-06,-0.00041154152633359614,-0.003906824594714975,3727835.0,0.0,-6745.333333333023,-159.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,2896.3333333334886,47.166666666664185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-08,0.014028584342492795,0.0017042896177917877,-2807405.0,0.6166666666666671,4541.166666666511,157.66666666667157,0.0,0.0,0.0,0.16666666666666652,0.0,0.0,0.0
2020-12-09,-0.015958835874683094,-0.0024698138610463882,-248946.0,0.0,-1227.0,59.16666666666424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-10,0.006436457013022298,0.0029372018989832216,-528937.0,0.0,4120.166666666511,4.166666666671517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
