date,sentiment_mean,sentiment_volatility,tweet_volume,source_file
2021-05-24,0.06095860089881666,0.2550636690866682,2746423,corona_tweets_432.csv
2021-12-28,0.03984925978437708,0.25319047507453063,3334155,corona_tweets_650.csv
2020-07-08,0.04085103813511722,0.26565068288333277,4032945,corona_tweets_112.csv
2021-12-22,0.057002476250056326,0.26651885611709275,3117951,corona_tweets_644.csv
2022-05-18,0.053989688078409294,0.2544794671044656,911505,corona_tweets_791.csv
2021-02-10,0.06874580409435331,0.26394462982356465,2666021,corona_tweets_329.csv
2020-08-04,0.054564732244406264,0.2601351558760755,3726039,corona_tweets_139.csv
2022-04-17,0.045463209971762564,0.2605933158035156,695484,corona_tweets_760.csv
2021-01-23,0.06937121539085939,0.25848274263389787,3031831,corona_tweets_311.csv
2022-03-31,0.050730606885335046,0.2611512319507741,934865,corona_tweets_743.csv
2022-06-17,0.05357297145257103,0.2541311767176463,840450,corona_tweets_821.csv
2021-03-15,0.06613797364170015,0.2529537577907488,2528090,corona_tweets_362.csv
2021-01-02,0.038051990739761815,0.2681859933113344,3250694,corona_tweets_290.csv
2022-04-28,0.05502040822030799,0.2462861878172714,1009305,corona_tweets_771.csv
2022-07-04,0.038577666514437274,0.26384747005373455,679277,corona_tweets_838.csv
2020-11-18,0.062095251438646505,0.26586649536547563,3649808,corona_tweets_245.csv
2020-04-25,0.046757662566493656,0.2623786124419973,1981835,corona_tweets_38.csv
2020-10-22,0.061645940255322745,0.26469425075785924,3342926,corona_tweets_218.csv
2022-08-21,0.057181202324410894,0.24428394600321118,535073,corona_tweets_886.csv
2020-04-21,0.05796607649378478,0.25869354866687877,2211689,corona_tweets_34.csv
2021-07-30,0.04532896845578132,0.2571815843025579,3394472,corona_tweets_499.csv
2021-01-30,0.0648681211353155,0.26948237737394026,2900875,corona_tweets_318.csv
2022-11-02,0.03521188666078558,0.270361046795409,875989,corona_tweets_959.csv
2022-10-19,0.03201157425528832,0.2567096360082248,726975,corona_tweets_945.csv
2022-01-13,0.04470699461864263,0.2651702610228032,3129431,corona_tweets_666.csv
2022-11-13,0.056232736700058544,0.26994626583314063,590519,corona_tweets_970.csv
